"ozone";"vh";"wind";"humidity";"temp";"ibh";"dpg";"ibt";"vis";"cw"
16;5730;6;64;26.7901234567901;3441;67;161;100;"W"
14;5760;6;68;29.0123456790123;1578;61;160;100;"W"
10;5770;7;59;29.0123456790123;1850;76;160;120;"W"
9;5690;8;67;25.679012345679;2962;80;152;120;"W"
7;5650;6;66;24.0123456790123;2670;54;130;120;"W"
5;5610;3;61;19.0123456790123;5000;76;56;150;"C"
2;5570;9;81;16.7901234567901;5000;57;49;140;"C"
12;5690;5;63;22.9012345679012;5000;46;107;140;"W"
22;5760;3;58;27.3456790123457;987;28;177;140;"W"
17;5810;5;68;26.7901234567901;1148;43;194;140;"W"
26;5830;4;71;31.2345679012346;898;-24;255;60;"W"
27;5880;6;67;36.2345679012346;777;-1;281;30;"W"
14;5860;3;64;33.4567901234568;1279;75;220;17;"W"
11;5830;6;64;31.7901234567901;1046;69;204;80;"W"
23;5870;4;69;36.7901234567901;1167;50;235;60;"W"
26;5860;3;77;35.1234567901235;987;45;243;100;"W"
21;5800;3;61;34.0123456790123;1144;57;218;120;"W"
15;5800;4;69;34.0123456790123;977;60;215;150;"W"
20;5770;5;64;26.2345679012346;770;26;242;120;"W"
15;5860;4;33;35.1234567901235;629;-11;302;140;"W"
18;5870;7;38;36.7901234567901;337;-14;321;140;"W"
26;5870;4;54;36.2345679012346;590;26;295;120;"W"
19;5860;6;39;40.1234567901235;400;19;285;120;"W"
13;5880;5;43;40.1234567901235;580;9;307;80;"W"
30;5870;7;55;41.7901234567901;646;25;318;140;"W"
26;5860;4;77;39.0123456790123;826;41;291;140;"W"
15;5830;5;63;30.1234567901235;823;52;236;150;"W"
16;5820;5;65;30.1234567901235;2116;47;213;120;"W"
16;5820;8;64;29.0123456790123;2972;52;180;120;"W"
19;5860;6;68;33.4567901234568;2752;41;211;140;"W"
23;5870;3;76;38.4567901234568;1377;37;258;100;"W"
28;5890;6;71;40.679012345679;1486;33;266;50;"W"
34;5900;6;86;38.4567901234568;990;22;295;40;"W"
33;5890;5;65;40.679012345679;508;29;296;100;"W"
24;5910;4;73;39.0123456790123;1204;56;266;100;"W"
17;5900;5;69;36.2345679012346;2414;63;247;60;"W"
10;5860;3;64;33.4567901234568;2385;67;213;50;"W"
14;5830;3;63;34.0123456790123;2326;64;218;70;"W"
13;5850;9;72;32.9012345679012;3389;56;204;80;"W"
17;5830;6;82;35.1234567901235;2818;58;221;80;"W"
22;5810;8;69;32.3456790123457;2394;54;209;90;"W"
19;5830;4;74;33.4567901234568;2746;61;208;120;"W"
20;5830;5;69;31.7901234567901;2493;55;225;120;"W"
25;5840;7;72;35.679012345679;1528;42;233;100;"W"
28;5870;6;73;36.7901234567901;111;40;256;60;"W"
29;5870;4;90;37.9012345679012;1899;45;247;40;"W"
23;5860;3;80;34.5679012345679;1289;32;240;40;"W"
26;5900;3;73;34.5679012345679;984;35;260;70;"W"
14;5890;4;71;36.7901234567901;836;28;275;80;"W"
13;5880;4;78;36.7901234567901;826;27;263;80;"W"
26;5890;6;80;35.1234567901235;1105;39;234;80;"W"
22;5870;8;74;37.3456790123457;1023;46;251;80;"W"
14;5820;6;63;30.679012345679;2956;46;196;120;"W"
13;5780;6;57;30.1234567901235;2988;56;187;150;"W"
9;5770;3;55;27.9012345679012;4291;60;168;200;"W"
12;5790;4;65;26.2345679012346;3330;59;148;150;"W"
14;5840;7;65;34.0123456790123;1233;30;214;100;"W"
24;5910;5;72;35.1234567901235;1069;28;235;80;"W"
19;5890;5;79;34.5679012345679;984;57;230;70;"W"
16;5870;6;62;32.3456790123457;1653;71;204;60;"W"
7;5780;7;65;22.9012345679012;3930;68;151;150;"W"
2;5730;5;77;20.679012345679;5000;73;109;200;"W"
4;5780;7;70;26.7901234567901;5000;45;107;200;"W"
6;5750;7;58;25.679012345679;4212;46;138;200;"W"
12;5760;5;58;24.5679012345679;5000;52;99;250;"W"
9;5730;7;72;27.3456790123457;5000;31;141;300;"W"
15;5730;5;77;31.2345679012346;1545;43;187;70;"W"
17;5790;4;57;31.2345679012346;994;44;209;300;"W"
13;5750;3;67;29.0123456790123;1125;55;200;150;"W"
20;5880;3;73;32.9012345679012;636;16;233;300;"W"
22;5890;7;70;36.2345679012346;748;32;250;30;"W"
24;5880;4;73;35.1234567901235;692;44;254;100;"W"
26;5870;7;73;30.679012345679;807;39;260;100;"W"
32;5900;6;71;38.4567901234568;869;19;261;17;"W"
33;5920;4;77;39.5679012345679;800;24;298;20;"W"
27;5930;3;68;41.2345679012346;393;6;332;4;"W"
38;5950;5;62;41.2345679012346;557;0;326;70;"W"
23;5950;8;61;41.7901234567901;620;27;298;30;"W"
19;5900;5;71;41.7901234567901;1404;33;293;70;"W"
19;5890;8;77;37.9012345679012;898;21;270;60;"W"
15;5860;7;71;32.3456790123457;377;-2;285;40;"W"
28;5840;5;67;35.1234567901235;528;17;260;50;"W"
10;5800;6;74;33.4567901234568;2818;26;226;70;"W"
14;5760;7;65;30.679012345679;3247;10;196;140;"W"
26;5810;6;82;34.5679012345679;895;0;256;100;"W"
17;5850;4;67;35.1234567901235;721;0;268;120;"W"
3;5760;7;87;19.0123456790123;5000;39;110;150;"C"
14;5860;4;71;25.1234567901235;1965;13;161;50;"W"
29;5830;5;77;30.1234567901235;1853;10;216;70;"W"
18;5840;5;78;31.7901234567901;2342;7;219;40;"W"
3;5800;7;72;20.679012345679;5000;56;109;70;"W"
9;5790;3;71;24.0123456790123;4028;35;128;140;"W"
19;5830;5;71;29.5679012345679;2716;26;176;140;"W"
8;5810;5;76;29.5679012345679;3671;31;188;100;"W"
23;5780;6;76;30.1234567901235;3795;31;194;70;"W"
13;5800;6;73;31.7901234567901;3120;35;194;40;"W"
7;5800;5;80;26.2345679012346;2667;17;175;100;"W"
3;5780;9;73;24.0123456790123;5000;39;115;120;"W"
5;5790;8;80;23.4567901234568;5000;36;94;120;"W"
11;5770;5;75;25.679012345679;308;25;204;140;"W"
12;5750;4;68;24.0123456790123;2982;18;155;120;"W"
5;5640;5;93;25.1234567901235;5000;30;115;70;"W"
4;5640;7;57;24.5679012345679;5000;25;107;150;"W"
5;5650;3;70;22.9012345679012;5000;38;87;200;"W"
4;5710;6;65;21.2345679012346;5000;35;88;200;"W"
10;5760;6;66;22.9012345679012;3070;13;156;200;"W"
17;5840;4;73;30.1234567901235;830;0;223;70;"W"
26;5880;3;77;29.5679012345679;711;-9;242;40;"W"
30;5890;5;80;31.7901234567901;1049;-10;261;50;"W"
18;5890;4;73;29.5679012345679;511;-39;288;17;"W"
12;5890;5;19;29.5679012345679;5000;-40;198;80;"W"
7;5890;6;19;30.679012345679;5000;-34;208;250;"W"
15;5850;3;73;33.4567901234568;377;-3;260;200;"W"
12;5830;5;76;30.679012345679;862;27;231;2;"W"
7;5830;8;77;29.5679012345679;337;-17;273;20;"W"
28;5860;5;86;30.679012345679;492;-2;279;7;"W"
22;5830;5;76;29.5679012345679;1394;13;239;30;"W"
18;5800;7;66;26.7901234567901;3146;27;178;50;"W"
14;5830;4;74;28.4567901234568;2234;11;193;70;"W"
24;5790;5;71;28.4567901234568;2109;21;209;17;"W"
10;5730;4;84;25.679012345679;5000;23;125;80;"W"
14;5780;5;74;26.2345679012346;2270;-7;205;50;"W"
9;5740;7;48;20.1234567901235;2191;-13;204;60;"W"
12;5710;8;75;24.5679012345679;3448;12;148;60;"W"
7;5690;6;74;21.2345679012346;5000;13;94;80;"W"
7;5670;4;67;20.679012345679;5000;11;97;50;"W"
6;5760;4;75;22.3456790123457;2719;25;138;50;"W"
13;5820;5;71;16.7901234567901;1899;21;167;40;"C"
5;5790;3;35;20.1234567901235;5000;-41;114;40;"W"
3;5760;5;23;21.7901234567901;5000;-21;105;300;"W"
7;5800;6;19;23.4567901234568;5000;-19;124;200;"W"
8;5810;7;59;24.0123456790123;2385;10;158;150;"W"
10;5750;4;60;25.1234567901235;1938;0;170;100;"W"
12;5840;0;38;26.2345679012346;590;-11;211;100;"W"
6;5920;3;22;29.5679012345679;328;-40;270;150;"W"
5;5860;7;19;29.0123456790123;5000;-29;165;300;"W"
20;5840;0;45;27.9012345679012;597;-22;231;30;"W"
14;5810;2;47;28.4567901234568;469;-4;221;50;"W"
16;5770;2;73;22.9012345679012;1541;18;173;20;"W"
5;5710;4;67;17.3456790123457;5000;24;55;200;"C"
3;5500;9;56;11.7901234567901;5000;15;54;120;"C"
5;5660;3;54;17.9012345679012;5000;27;70;300;"C"
1;5700;3;71;15.679012345679;5000;54;60;200;"C"
5;5810;5;59;20.1234567901235;5000;-28;120;70;"W"
4;5860;0;25;23.4567901234568;5000;-38;175;140;"W"
11;5900;0;24;24.5679012345679;5000;-36;156;150;"W"
6;5850;5;41;26.2345679012346;2014;-20;211;200;"W"
8;5780;3;50;26.7901234567901;436;1;213;4;"W"
14;5790;0;76;26.7901234567901;830;3;189;40;"W"
18;5780;2;82;25.1234567901235;1112;-8;191;30;"W"
12;5770;2;81;24.5679012345679;1210;-17;199;30;"W"
9;5750;2;85;23.4567901234568;501;-22;216;2;"W"
7;5780;5;76;25.1234567901235;875;-15;205;0;"W"
14;5790;5;66;23.4567901234568;1601;7;167;30;"W"
4;5750;6;58;22.3456790123457;5000;59;55;60;"W"
3;5670;8;19;9.01234567901234;5000;-63;28;150;"C"
3;5760;0;19;10.1234567901235;5000;-52;50;100;"C"
3;5770;4;19;14.5679012345679;2280;-54;132;250;"C"
3;5810;2;19;19.5679012345679;2047;-43;175;150;"C"
3;5810;2;19;19.0123456790123;5000;-69;136;200;"C"
3;5870;3;19;19.5679012345679;3720;-50;163;200;"C"
3;5830;2;27;22.3456790123457;311;-24;211;200;"W"
6;5760;0;64;20.679012345679;2536;28;136;80;"W"
6;5680;0;52;17.9012345679012;1154;-22;164;60;"C"
5;5780;4;19;16.7901234567901;2933;-40;155;300;"C"
3;5810;3;19;18.4567901234568;3064;-33;171;200;"C"
4;5760;0;32;24.5679012345679;826;-16;182;300;"W"
7;5680;0;58;12.3456790123457;5000;2;61;50;"C"
5;5750;0;26;14.5679012345679;111;-52;201;40;"C"
5;5790;5;19;17.3456790123457;5000;-48;126;70;"C"
4;5770;3;19;19.5679012345679;5000;-37;131;150;"C"
3;5750;0;19;19.5679012345679;5000;-26;106;150;"C"
2;5720;0;19;19.5679012345679;5000;-31;108;70;"C"
5;5760;3;19;20.679012345679;948;-48;215;200;"W"
3;5780;0;19;18.4567901234568;5000;-50;105;120;"C"
4;5660;4;19;20.1234567901235;5000;-22;92;150;"W"
4;5610;2;58;16.7901234567901;3687;-10;83;150;"C"
6;5640;0;51;19.5679012345679;5000;0;68;60;"C"
6;5680;3;52;17.3456790123457;5000;-19;76;70;"C"
3;5650;5;19;16.7901234567901;5000;-28;74;150;"C"
4;5710;4;19;18.4567901234568;5000;-25;91;300;"C"
3;5680;4;57;16.2345679012346;508;-10;148;100;"C"
8;5630;4;50;17.9012345679012;2851;-5;100;70;"C"
2;5730;3;53;18.4567901234568;111;-14;225;200;"C"
3;5690;3;23;18.4567901234568;5000;-36;107;70;"C"
5;5650;3;61;17.9012345679012;3704;18;83;40;"C"
1;5550;4;85;11.7901234567901;5000;8;44;100;"C"
